,NAME,Population,stateNo,countyNo,County,Year
365,"Lassen County, California",32645.0,06,035,Lassen,2015
366,"Los Angeles County, California",10038388.0,06,037,Los Angeles,2015
367,"Madera County, California",153187.0,06,039,Madera,2015
368,"Marin County, California",258349.0,06,041,Marin,2015
369,"Mariposa County, California",17789.0,06,043,Mariposa,2015
370,"Mendocino County, California",87544.0,06,045,Mendocino,2015
371,"Merced County, California",263885.0,06,047,Merced,2015
372,"Modoc County, California",9184.0,06,049,Modoc,2015
373,"Mono County, California",14146.0,06,051,Mono,2015
374,"Monterey County, California",428441.0,06,053,Monterey,2015
375,"Napa County, California",140295.0,06,055,Napa,2015
376,"Nevada County, California",98570.0,06,057,Nevada,2015
377,"Orange County, California",3116069.0,06,059,Orange,2015
378,"Placer County, California",366280.0,06,061,Placer,2015
379,"Plumas County, California",18966.0,06,063,Plumas,2015
380,"Riverside County, California",2298032.0,06,065,Riverside,2015
381,"Sacramento County, California",1465832.0,06,067,Sacramento,2015
382,"San Benito County, California",57557.0,06,069,San Benito,2015
383,"San Bernardino County, California",2094769.0,06,071,San Bernardino,2015
384,"San Diego County, California",3223096.0,06,073,San Diego,2015
385,"San Francisco County, California",840763.0,06,075,San Francisco,2015
386,"San Joaquin County, California",708554.0,06,077,San Joaquin,2015
387,"San Luis Obispo County, California",276517.0,06,079,San Luis Obispo,2015
388,"San Mateo County, California",748731.0,06,081,San Mateo,2015
389,"Santa Barbara County, California",435850.0,06,083,Santa Barbara,2015
390,"Santa Clara County, California",1868149.0,06,085,Santa Clara,2015
391,"Santa Cruz County, California",269278.0,06,087,Santa Cruz,2015
392,"Shasta County, California",178942.0,06,089,Shasta,2015
393,"Sierra County, California",3021.0,06,091,Sierra,2015
394,"Siskiyou County, California",43895.0,06,093,Siskiyou,2015
395,"Solano County, California",425753.0,06,095,Solano,2015
396,"Sonoma County, California",495078.0,06,097,Sonoma,2015
397,"Stanislaus County, California",527367.0,06,099,Stanislaus,2015
398,"Sutter County, California",95247.0,06,101,Sutter,2015
399,"Tehama County, California",63152.0,06,103,Tehama,2015
400,"Trinity County, California",13373.0,06,105,Trinity,2015
401,"Tulare County, California",454033.0,06,107,Tulare,2015
402,"Tuolumne County, California",54079.0,06,109,Tuolumne,2015
403,"Ventura County, California",840833.0,06,111,Ventura,2015
